state,color,move,player
"(268494592, 129, 2359296, 288230376151711748, 8, 16, 52919498939826176, 9223372036854775808, 4611690416473899008, 2048, 576460752303423488, 1152921504606846976)",0,d1d2,human
"(268494592, 129, 2359296, 288230376151711748, 2048, 16, 52919498939826176, 9223372036854775808, 4611967493404098560, 0, 576460752303423488, 1152921504606846976)",0,f3e5,human
"(268494592, 129, 68719738880, 288230376151711748, 2048, 16, 43947484057174016, 9223372036854775808, 4611967493404098560, 0, 576460752303423488, 1152921504606846976)",0,e5d7,human
"(268494592, 129, 2251799813947392, 288230376151711748, 2048, 16, 41695684243488768, 9223372036854775808, 4611690416473899008, 0, 576460752303423488, 1152921504606846976)",0,d7b6,human
"(268494592, 129, 2199023517696, 288230376151711748, 2048, 16, 41693485220233216, 9223372036854775808, 4611690416473899008, 0, 34359738368, 1152921504606846976)",0,d2d5,human
"(268494592, 129, 2199023517696, 288230376151711748, 34359738368, 16, 37189954312339456, 9223372036854775808, 4611690416473899008, 0, 0, 1152921504606846976)",0,d5d7,human
"(268494592, 129, 2199023517696, 288230376151711748, 2251799813685248, 16, 37189954312339456, 9223372036854775808, 4611690416473899008, 0, 0, 2305843009213693952)",0,c1h6,human
"(268494592, 129, 2199023517696, 288230376151711744, 2251799813685248, 16, 37189954312339456, 9223372036854775808, 145135534866432, 0, 0, 2305843009213693952)",0,d7c6,human
"(268494592, 129, 2199023517696, 288230376151711744, 4398046511104, 16, 37189954312339456, 9223372036854775808, 1073741824, 0, 0, 2305843009213693952)",0,c6c7,human
"(268494592, 129, 2199023517696, 288230376151711744, 1125899906842624, 16, 36029007472361472, 9223372036854775808, 1073741824, 0, 0, 2305843009213693952)",0,a1d1,human
"(268494592, 136, 2199023517696, 288230376151711744, 1125899906842624, 16, 36029007472361472, 9223372036854775808, 1048576, 0, 0, 2305843009213693952)",0,d1d8,human
