state,color,move,player
"(205697280, 33, 2359296, 16896, 1024, 64, 63074622693703680, 2377900603251621888, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,c4d5,human
"(407019776, 33, 2359296, 16896, 1024, 64, 63074588401074176, 2377900603251621888, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,f1d1,human
"(406888704, 9, 2359296, 16896, 1024, 64, 63074588334096384, 2377900603251621888, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,a2b3,human
"(407019520, 9, 2359296, 16896, 1024, 64, 63074588333965312, 2594073385365405696, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,h2h4,human
"(2554470400, 9, 2359296, 16896, 1024, 64, 63070207467323392, 2594073385365405696, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,d4d5,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c2c4,human
"(201388800, 129, 66, 36, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(201388800, 129, 2097154, 36, 8, 16, 65038346165944320, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g2g3,human
"(138457856, 129, 2097154, 36, 8, 16, 65038311873314816, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,f1g2,human
"(138457856, 129, 2097154, 16388, 8, 16, 65038311873314816, 9295429630892703744, 144150372447944704, 288230376185266176, 576460752303423488, 1152921504606846976)",0,c1d2,human
"(138457856, 129, 2097154, 18432, 8, 16, 64756841191571456, 9295429630892703744, 144150372447944704, 288230376185266176, 576460752303423488, 1152921504606846976)",0,e1g1,human
"(138457856, 33, 2097154, 18432, 8, 64, 64756841191571456, 2377900603251621888, 144150372447944704, 288230376185266176, 576460752303423488, 4611686018427387904)",0,e2e3,human
"(139502336, 33, 2097154, 18432, 8, 64, 64756841191571456, 2305844108725321728, 144150372447944704, 288230376185266176, 576460752303423488, 4611686018427387904)",0,d1c2,human
"(139502336, 33, 2097154, 18432, 1024, 64, 64193899828084736, 2305844108725321728, 144150372447944704, 288230376185266176, 576460752303423488, 4611686018427387904)",0,b2b3,human
"(139502336, 33, 2097154, 18432, 1024, 64, 64193899828084736, 2305844108725321728, 144150372447944704, 288230376185266176, 576460752303423488, 4611686018427387904)",0,a2a4,human
"(139502336, 33, 2097154, 18432, 1024, 64, 64193899828084736, 2305844108725321728, 144150372447944704, 288230376185266176, 576460752303423488, 4611686018427387904)",0,e3e4,human
"(139502336, 33, 2097154, 18432, 1024, 64, 64193899828084736, 2305844108725321728, 144150372447944704, 288230376185266176, 576460752303423488, 4611686018427387904)",0,b1c3,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c2c4,human
"(201388800, 129, 66, 36, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(201388800, 129, 2097154, 36, 8, 16, 65038346165944320, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g2g3,human
"(138457856, 129, 2097154, 36, 8, 16, 65038311873314816, 9295429630892703744, 144150372447944704, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,f1g2,human
"(138457856, 129, 2097154, 16388, 8, 16, 65038311873314816, 9295429630892703744, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,e1g1,human
"(138457856, 33, 2097154, 16388, 8, 64, 65038311873314816, 9367487224930631680, 39582418599936, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c1e3,human
"(138457856, 33, 2097154, 1064960, 8, 64, 65038311873314816, 9367487224930631680, 39582418599936, 288239172244733952, 576460752303423488, 1152921504606846976)",0,d1c2,human
"(138588416, 33, 2097154, 1064960, 4, 64, 64475370509828096, 9367487224930631680, 39582418599936, 571746046443520, 576460752303423488, 1152921504606846976)",0,b3c4,human
"(138457344, 33, 2097154, 1064960, 4, 64, 64475361919893504, 9367487224930631680, 39582418599936, 571746046443520, 576460752303423488, 1152921504606846976)",0,c1c4,human
"(138457344, 33, 2097154, 1064960, 67108864, 64, 64475361852784640, 9367487224930631680, 35184405643264, 571746046443520, 576460752303423488, 1152921504606846976)",0,a2a3,human
